#f	lead1	lead2	lead3	lead4	lead5	lead6	lead7	lead8	lead9	lead10	lead11	lead12
105.871	0.000872991	2.42434	2.56932	6.87172	9.98116	7.85452	39.5959	9.46229	377.27	305.76	309.154	0
106.372	0.00109035	2.19729	2.01252	5.1278	5.19438	0.541101	0.356937	15.2615	763.509	1189.25	1179.86	0
106.874	0.000844755	2.37789	2.51966	6.73901	9.79008	7.6913	38.4417	7.42974	465.878	266.776	864.099	0
107.376	0.00107571	2.15738	1.97606	5.036	5.10145	0.529763	0.319342	14.9366	23.4517	16.353	318.311	0
107.878	0.00081677	2.33835	2.47759	6.62644	9.62193	7.55362	37.3873	6.54043	324.975	324.588	313.561	0
108.379	0.00105302	2.12002	1.9422	4.94938	5.01243	0.518034	0.281939	13.5195	732.32	688.416	1278.88	0
108.881	0.000786874	2.29384	2.42998	6.49973	9.43891	7.39768	36.33	5.79738	469.554	155.985	121.719	0
109.383	0.00103405	2.08168	1.90725	4.8604	4.9225	0.506766	0.25104	13.8962	30.3793	344.366	349.552	0
109.885	0.000760602	2.25644	2.39021	6.39303	9.2786	7.26875	35.3811	4.60538	422.536	6.59793	43.472	0
110.386	0.00101357	2.04654	1.87526	4.77899	4.84016	0.496532	0.22006	12.4007	978.328	761.303	3483.73	0
110.888	0.000734224	2.21469	2.34583	6.27475	9.10638	7.12201	34.4106	4.41495	488.416	1039.47	6184.88	0
111.39	0.000963772	2.01147	1.84494	4.69872	4.75876	0.488675	0.194958	12.6888	58.5814	145.561	1769.55	0
111.892	0.000713628	2.17963	2.30851	6.17427	8.95539	6.99998	33.5443	3.43569	338.165	348.64	1571.96	0
112.393	0.00098235	1.97697	1.81169	4.61753	4.67689	0.47679	0.170289	11.8476	1245.68	271.077	1602.83	0
112.895	0.000688768	2.13896	2.26521	6.05842	8.79146	6.86221	32.6566	3.2257	671.202	119.079	1502.23	0
113.397	0.000966814	1.94311	1.78071	4.53842	4.59672	0.467669	0.150462	11.6918	165.797	17.146	1090.96	0
113.899	0.00066705	2.10553	2.23058	5.96446	8.65208	6.74912	31.868	2.6531	76.1293	648.935	430.776	0
114.4	0.000944307	1.91111	1.75196	4.46485	4.5219	0.458963	0.129924	11.5551	937.922	687.965	3518.66	0
114.902	0.000628567	2.06669	2.18737	5.85242	8.48729	6.6118	31.0478	2.28945	713.177	377.788	3446.29	0
115.404	0.000922168	1.87947	1.72319	4.39133	4.44797	0.451475	0.114246	11.0996	239.411	278.409	1137.35	0
115.906	0.000614371	2.03748	2.15628	5.76846	8.36704	6.51118	30.3388	2.00324	41.7566	1856.36	1497.09	0
116.407	0.000914546	1.84978	1.69589	4.32244	4.37838	0.443468	0.0977537	11.2887	306.156	2668.49	2286.46	0
116.909	0.000616138	2.00112	2.11879	5.66551	8.21983	6.39132	29.5956	1.59159	482.509	223.537	262.732	0
117.411	0.000898775	1.81862	1.66753	4.2499	4.30353	0.435028	0.0860722	10.8567	151.175	282.083	148.95	0
117.913	0.00059969	1.97227	2.08874	5.58391	8.09341	6.29126	28.9313	1.4098	256.55	23.5399	256.868	0
118.414	0.000881069	1.79019	1.64196	4.18453	4.23862	0.428382	0.0728888	10.9949	5.62211	803.13	1674.89	0
118.916	0.000567921	1.93639	2.04929	5.4805	7.94446	6.16463	28.2281	1.06464	243.118	402.46	407.029	0
119.418	0.000867631	1.76091	1.61515	4.11624	4.17017	0.421228	0.0639224	10.7667	18.9466	348.244	1893.04	0
119.92	0.000540961	1.90745	2.01783	5.39878	7.82183	6.06514	27.6126	0.895829	304.471	876.046	2082.51	0
120.421	0.00085652	1.73419	1.59054	4.05418	4.10802	0.414507	0.0539661	10.6949	57.2629	240.041	134.731	0
120.923	0.000530981	1.87518	1.98426	5.30656	7.68923	5.95597	26.9775	0.665793	165.069	195.101	453.186	0
121.425	0.000842479	1.70612	1.56484	3.98873	4.04112	0.408128	0.047602	10.6445	78.1007	463.832	466.688	0
121.927	0.000520736	1.84871	1.9557	5.22991	7.57508	5.86521	26.4091	0.516521	103.289	413.431	3601.83	0
122.428	0.00082872	1.68066	1.54179	3.92998	3.98225	0.402164	0.040039	10.3903	79.5529	1052.66	1884.07	0
122.93	0.000521545	1.81719	1.92317	5.14177	7.44944	5.75854	25.8176	0.393082	165.088	582.409	301.054	0
123.432	0.000815276	1.65419	1.51766	3.86858	3.92141	0.396241	0.0354401	10.3541	358.281	157.354	193.059	0
123.934	0.000487618	1.79233	1.89555	5.0695	7.3402	5.67341	25.2945	0.30027	21.7613	1113.77	2109.43	0
124.436	0.000796997	1.6295	1.49542	3.81185	3.86357	0.39087	0.0302425	10.0323	13.2052	284.69	454.591	0
124.937	0.000470789	1.7619	1.86324	4.98283	7.21628	5.56921	24.7394	0.265344	175.202	270.146	774.966	0
125.439	0.000774009	1.60436	1.47336	3.75369	3.80615	0.385781	0.0272077	9.8968	652.043	207.484	220.493	0
125.941	0.000463209	1.73829	1.8381	4.91501	7.11411	5.48954	24.2545	0.245332	215.733	702.441	1443.95	0
126.443	0.000780158	1.58101	1.45086	3.6988	3.7494	0.380177	0.0239881	9.59126	9.68105	592.491	1027.93	0
126.944	0.000442473	1.70977	1.80762	4.83413	6.99803	5.39213	23.7439	0.284107	181.961	612.814	1998.46	0
127.446	0.000748287	1.55659	1.42973	3.64356	3.69294	0.374362	0.0222087	9.31564	744.705	2547.75	4454.22	0
127.948	0.000442761	1.68674	1.78329	4.76858	6.89897	5.31476	23.2836	0.32793	427.016	769.864	293.698	0
128.45	0.000684209	1.53771	1.4166	3.60189	3.6553	0.375945	0.0214746	9.06183	44.8364	296.503	1185.89	0
128.951	0.000423082	1.65959	1.75426	4.69175	6.78864	5.22197	22.8065	0.423288	131.367	65.4183	95.8242	0
129.453	0.000733856	1.51234	1.38872	3.54036	3.59123	0.366258	0.0204683	8.69802	586.199	899.257	2435.14	0
129.955	0.000413526	1.63788	1.73097	4.62881	6.69429	5.1484	22.3775	0.514793	440.082	486.762	1046.76	0
130.457	0.00072121	1.49083	1.36926	3.49054	3.53998	0.361683	0.0201468	8.41958	35.4283	1117.93	1903.46	0
130.958	0.000401187	1.61151	1.70323	4.55484	6.58913	5.05971	21.9296	0.644754	40.6687	297.293	105.391	0
131.46	0.000717529	1.4687	1.34865	3.43816	3.48961	0.35706	0.0206359	8.06026	302.471	272.206	1664.43	0
131.962	0.000388899	1.59091	1.68109	4.4947	6.49902	4.9899	21.5323	0.767473	318.26	29.9168	372.505	0
132.464	0.000703844	1.44866	1.33027	3.39141	3.44193	0.354273	0.0215115	7.77304	11.3174	1248.02	2245.76	0
132.965	0.000374874	1.56541	1.65426	4.42404	6.39388	4.90582	21.1082	0.907518	21.3363	987.798	2116.78	0
133.467	0.000696995	1.42826	1.31204	3.34498	3.3953	0.349877	0.0229471	7.44838	83.0651	206.466	513.665	0
133.969	0.000385047	1.54497	1.63269	4.36314	6.30679	4.8366	20.7347	1.04677	206.545	874.154	2539.46	0
134.471	0.000701186	1.40807	1.29239	3.29711	3.34691	0.345016	0.0244144	7.1556	5.45596	311.465	1318.23	0
134.972	0.000361876	1.52199	1.60805	4.29967	6.21491	4.75681	20.3376	1.18047	82.2214	1828.88	1275.31	0
135.474	0.000687762	1.38805	1.27474	3.25073	3.30116	0.341498	0.0264767	6.87787	8.72944	961.317	105.659	0
135.976	0.000338011	1.50287	1.58683	4.24354	6.13052	4.69306	19.9935	1.3196	164.778	604.179	577.364	0
136.478	0.000658434	1.37014	1.25961	3.21078	3.26098	0.339286	0.0294044	6.61764	9.46333	72.1455	1245.91	0
136.979	0.000346659	1.4802	1.56355	4.18091	6.04114	4.61756	19.6154	1.44596	129.705	975.099	1039.62	0
137.481	0.000666555	1.35059	1.24089	3.1643	3.21516	0.334721	0.0319003	6.38494	12.5343	1068.75	737.424	0
137.983	0.000336285	1.46224	1.54431	4.12885	5.96187	4.55661	19.286	1.58016	162.581	231.541	666.761	0
138.485	0.00064835	1.33334	1.22557	3.12498	3.17564	0.332716	0.0354695	6.16546	37.4648	52.4525	485.287	0
138.986	0.000325523	1.44064	1.52125	4.06726	5.87465	4.4839	18.934	1.69871	153.496	681.739	93.8884	0
139.488	0.000651843	1.31415	1.20728	3.07876	3.1296	0.327523	0.0380439	5.9632	46.5679	463.639	292.507	0
139.99	0.000318712	1.4234	1.50287	4.01839	5.79846	4.42729	18.6274	1.81722	128.273	582.048	853.872	0
140.492	0.000630237	1.29804	1.19323	3.04294	3.09343	0.326422	0.0423522	5.79563	78.4104	795.227	878.414	0
140.993	0.000301963	1.40161	1.47843	3.95465	5.7088	4.34988	18.2839	1.93242	175.054	93.3871	330.757	0
141.495	0.000627217	1.28039	1.17701	3.00176	3.05356	0.323276	0.0457953	5.63752	157.758	179.91	395.603	0
141.997	0.000297009	1.38568	1.46247	3.91	5.64184	4.29933	18.0015	2.04429	56.9068	691.73	2471.37	0
142.499	0.000611329	1.26407	1.16231	2.96412	3.01498	0.320767	0.0500977	5.50536	103.026	1293.44	2860.62	0
143.001	0.000297204	1.36547	1.44145	3.85356	5.56182	4.23246	17.682	2.15931	123.519	437.613	204.812	0
143.502	0.00063271	1.24647	1.14493	2.92246	2.97204	0.316054	0.0534591	5.37114	310.614	409.833	652.784	0
144.004	0.000303252	1.35038	1.42464	3.81297	5.49255	4.1747	17.3919	2.27519	33.1774	274.013	353.43	0
144.506	0.000591004	1.2321	1.1335	2.89058	2.94221	0.315899	0.0586691	5.27606	178.797	372.923	841.748	0
145.008	0.000279246	1.33021	1.40353	3.75231	5.41355	4.11333	17.1052	2.37886	18.4261	208.812	134.151	0
145.509	0.000594978	1.21597	1.11837	2.85308	2.90448	0.312891	0.0626131	5.17448	327.583	318.249	699.062	0
146.011	0.000269319	1.315	1.38718	3.70797	5.34707	4.06354	16.8464	2.49199	65.8675	390.788	1342.7	0
146.513	0.000580661	1.20082	1.10462	2.81764	2.86866	0.310798	0.0678194	5.09727	355.149	145.387	852.521	0
147.015	0.000266856	1.29654	1.36768	3.65628	5.27339	4.00051	16.5622	2.60142	83.7771	22.5646	526.551	0
147.516	0.000587192	1.18473	1.08944	2.77969	2.8314	0.306736	0.0715987	5.01136	159.292	815.813	1794.58	0
148.018	0.00025422	1.28263	1.35228	3.61595	5.21096	3.95497	16.3195	2.71506	52.3684	866.718	1009	0
148.52	0.000549406	1.17153	1.07873	2.75033	2.80271	0.307178	0.0776757	4.9544	454.816	310.928	472.999	0
149.022	0.00025983	1.26424	1.33374	3.56464	5.13929	3.89458	16.042	2.82565	389.64	242.765	666.222	0
149.523	0.000558892	1.15601	1.06378	2.71379	2.76597	0.303487	0.0814954	4.88211	12.0951	1090.67	5222.75	0
150.025	0.000255466	1.25072	1.3196	3.52655	5.08072	3.8512	15.8172	2.94217	15.3316	1422.91	3617.14	0
150.527	0.000549119	1.14255	1.05157	2.68284	2.73494	0.302165	0.0873961	4.82624	307.449	350.142	892.792	0
151.029	0.000246468	1.23356	1.30076	3.47701	5.01353	3.79706	15.5671	3.04894	610.757	524.622	528.633	0
151.53	0.000539409	1.12823	1.03893	2.65053	2.7033	0.299962	0.0920336	4.77217	30.9023	155.876	986.641	0
152.032	0.000236577	1.22044	1.28671	3.43917	4.95388	3.74818	15.3358	3.16782	130.392	420.208	2365.5	0
152.534	0.000537325	1.1149	1.02633	2.61864	2.67105	0.298042	0.0977506	4.72186	134.101	421.726	68.2058	0
153.036	0.000236938	1.20341	1.269	3.39155	4.88657	3.69197	15.0903	3.27335	466.151	36.3204	467.044	0
153.537	0.00071105	1.10289	1.00462	2.57586	2.62209	0.291108	0.101069	4.65071	80.2231	40.1946	16.4602	0
154.039	0.0002318	1.191	1.25566	3.3557	4.83096	3.65145	14.8797	3.38489	387.591	375.144	912.041	0
154.541	0.000524777	1.0887	1.00248	2.55801	2.61074	0.294711	0.108295	4.6236	288.048	1379.53	2278.42	0
155.043	0.000224225	1.17424	1.23779	3.3081	4.76395	3.59564	14.6396	3.48999	159.599	953.994	1349.26	0
155.544	0.000520512	1.07776	0.990083	2.53496	2.58139	0.29094	0.112235	4.57261	30.5831	509.073	552.668	0
156.046	0.000220472	1.16251	1.22519	3.27444	4.71158	3.55594	14.4419	3.59632	523.496	1159.36	2192.04	0
156.548	0.000507671	1.06321	0.97951	2.49911	2.55183	0.291336	0.118555	4.52992	662.592	255.231	429.233	0
